,attribute_id,attribute_name,attribute_question,group_id,active,attribute_tooltip
10,110,Ruokailutila,"{""fi"":""Onko rakennuksessa ruokailutila?"", ""sv"":""[Svenska]Onko rakennuksessa ruokailutila?"", ""en"":""[English]Onko rakennuksessa ruokailutila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
11,111,Tuulikaappi,"{""fi"":""Onko rakennuksessa tuulikaappi?"", ""sv"":""[Svenska]Onko rakennuksessa tuulikaappi?"", ""en"":""[English]Onko rakennuksessa tuulikaappi?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
12,112,Vaatehuone,"{""fi"":""Onko rakennuksessa vaatehuone?"", ""sv"":""[Svenska]Onko rakennuksessa vaatehuone?"", ""en"":""[English]Onko rakennuksessa vaatehuone?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
13,113,Varastohuone,"{""fi"":""Onko rakennuksessa varastohuone?"", ""sv"":""[Svenska]Onko rakennuksessa varastohuone?"", ""en"":""[English]Onko rakennuksessa varastohuone?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
14,114,WC,"{""fi"":""Onko rakennuksessa wc?"", ""sv"":""[Svenska]Onko rakennuksessa wc?"", ""en"":""[English]Onko rakennuksessa wc?""}",1.0,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
15,115,Porras,"{""fi"":""Onko rakennuksessa porras?"", ""sv"":""[Svenska]Onko rakennuksessa porras?"", ""en"":""[English]Onko rakennuksessa porras?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
16,116,WC-pesuhuone,"{""fi"":""Onko rakennuksessa wc-pesuhuone?"", ""sv"":""[Svenska]Onko rakennuksessa wc-pesuhuone?"", ""en"":""[English]Onko rakennuksessa wc-pesuhuone?""}",1.0,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
17,117,Keittotila,"{""fi"":""Onko rakennuksessa keittotila?"", ""sv"":""[Svenska]Onko rakennuksessa keittotila?"", ""en"":""[English]Onko rakennuksessa keittotila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
18,2,Talotekniikka,"{""fi"":""Onko rakennuksessa talotekniikka?"", ""sv"":""[Svenska]Onko rakennuksessa talotekniikka?"", ""en"":""[English]Onko rakennuksessa talotekniikka?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
19,201,Tekniikkatila,"{""fi"":""Onko rakennuksessa tekniikkatila?"", ""sv"":""[Svenska]Onko rakennuksessa tekniikkatila?"", ""en"":""[English]Onko rakennuksessa tekniikkatila?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
20,202,IV-konehuone,"{""fi"":""Onko rakennuksessa iv-konehuone?"", ""sv"":""[Svenska]Onko rakennuksessa iv-konehuone?"", ""en"":""[English]Onko rakennuksessa iv-konehuone?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
21,203,Tekniikkakomero,"{""fi"":""Onko rakennuksessa tekniikkakomero?"", ""sv"":""[Svenska]Onko rakennuksessa tekniikkakomero?"", ""en"":""[English]Onko rakennuksessa tekniikkakomero?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
22,204,Muuntamo,"{""fi"":""Onko rakennuksessa muuntamo?"", ""sv"":""[Svenska]Onko rakennuksessa muuntamo?"", ""en"":""[English]Onko rakennuksessa muuntamo?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
23,205,Ristikytkentätila,"{""fi"":""Onko rakennuksessa ristikytkentätila?"", ""sv"":""[Svenska]Onko rakennuksessa ristikytkentätila?"", ""en"":""[English]Onko rakennuksessa ristikytkentätila?""}",,False,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
24,206,Ilmanvaihto,"{""fi"":""Onko rakennuksessa ilmanvaihto?"", ""sv"":""[Svenska]Onko rakennuksessa ilmanvaihto?"", ""en"":""[English]Onko rakennuksessa ilmanvaihto?""}",,False,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
25,207,Kasvien kasvatus,"{""fi"":""Onko rakennuksessa kasvien kasvatus?"", ""sv"":""[Svenska]Onko rakennuksessa kasvien kasvatus?"", ""en"":""[English]Onko rakennuksessa kasvien kasvatus?""}",,True,"{""fi"":"""", ""se"":"""", ""en"":"""" }"
