attribute_id,attribute_name,attribute_question,group_id,active
402,Siivoustila,"{'fi':'Onko rakennuksessa siivoustila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
403,Varasto,"{'fi':'Onko rakennuksessa varasto?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
404,VSS,"{'fi':'Onko rakennuksessa vss?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
405,Siivouskeskus,"{'fi':'Onko rakennuksessa siivouskeskus?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
406,Siivouskomero,"{'fi':'Onko rakennuksessa siivouskomero?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
407,Siivous,"{'fi':'Onko rakennuksessa siivous?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
408,VSS-tekniikka- ja välinevaraus,"{'fi':'Onko rakennuksessa vss-tekniikka- ja välinevaraus','sv':'samma på svenska','en':'in enklish'}",,False,"{'fi':'','sv':'','en':''}"
5,Osastoiva liikenne,"{'fi':'Onko rakennuksessa osastoiva liikenne?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
501,Porrasaula,"{'fi':'Onko rakennuksessa porrasaula?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
502,Porrashuone,"{'fi':'Onko rakennuksessa porrashuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
6,Palveluasuminen,"{'fi':'Onko rakennuksessa palveluasuminen?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
601,"WC-pesuhuone, esteetön","{'fi':'Onko rakennuksessa wc-pesuhuone, esteetön?',','sv':'samma på svenska','en':'in enklish'}",1,True,"{'fi':'','sv':'','en':''}"
7,Tietotyö,"{'fi':'Onko rakennuksessa tietotyö?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
701,Keskittymistila,"{'fi':'Onko rakennuksessa keskittymistila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
702,Työpistealue,"{'fi':'Onko rakennuksessa työpistealue?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
703,Toimistotila,"{'fi':'Onko rakennuksessa toimistotila?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
704,Toimistohuone,"{'fi':'Onko rakennuksessa toimistohuone?','sv':'samma på svenska','en':'in enklish'}",,True,"{'fi':'','sv':'','en':''}"
