attribute_id,attribute_name,attribute_question,group_id,active
1405,Opetuskeittiö,Onko rakennuksessa opetuskeittiö?,0,1
1406,Puutyökonesali,Onko rakennuksessa puutyökonesali?,0,1
1407,Sähkötyötila,Onko rakennuksessa sähkötyötila?,0,1
1408,Tapaamistila,Onko rakennuksessa tapaamistila?,0,1
1409,Tekstiilityötila,Onko rakennuksessa tekstiilityötila?,0,1
15,Ravinto,Onko rakennuksessa ravinto?,0,1
1501,Baari,Onko rakennuksessa baari?,0,1
1502,Jätekylmiö,Onko rakennuksessa jätekylmiö?,0,1
1503,Ravintolasali,Onko rakennuksessa ravintolasali?,0,1
1504,Vaatetila,Onko rakennuksessa vaatetila?,0,1
1505,Kahvilasali,Onko rakennuksessa kahvilasali?,0,1
1506,Astiapalautus,Onko rakennuksessa astiapalautus?,0,1
1507,Kuumennuskeittiö,Onko rakennuksessa kuumennuskeittiö?,0,1
1508,Ruokasali,Onko rakennuksessa ruokasali?,0,1
1509,Ruuanjakelu,Onko rakennuksessa ruuanjakelu?,0,1
1510,Astianpalautus,Onko rakennuksessa astianpalautus?,0,1
16,Majoitus,Onko rakennuksessa majoitus?,0,1
1601,Majoitushuone,Onko rakennuksessa majoitushuone?,0,1
17,Asiakaspalvelu,Onko rakennuksessa asiakaspalvelu?,0,1
1701,Sulkutila,Onko rakennuksessa sulkutila?,0,1
1702,Hoitohuone,Onko rakennuksessa hoitohuone?,0,1
1703,Itsepalvelupiste,Onko rakennuksessa itsepalvelupiste?,0,1
1704,Palvelutila,Onko rakennuksessa palvelutila?,0,1
1705,Katos,Onko rakennuksessa katos?,0,1
18,Kokoontuminen,Onko rakennuksessa kokoontuminen?,0,1
1801,Kokoushuone,Onko rakennuksessa kokoushuone?,0,1
1802,Lämpiö,Onko rakennuksessa lämpiö?,0,1
1803,Monitoimitila,Onko rakennuksessa monitoimitila?,0,1
1804,Odotustila,Onko rakennuksessa odotustila?,0,1
1805,Kokoussali,Onko rakennuksessa kokoussali?,0,1
1806,Elokuvasali,Onko rakennuksessa elokuvasali?,0,1
1807,Kahvikeittiö,Onko rakennuksessa kahvikeittiö?,0,1
1808,Sali,Onko rakennuksessa sali?,0,1
